city_name,zip_code,hospital_name,address,phone,photo_file,latitude,longitude
Gardena,90247,Memorial Hospital of Gardena,"1145 West Redondo Beach Boulevard, Gardena, CA 90247",(310) 532-4200,Memorial_Hospital_of_Gardena.jpg,33.893071,-118.29506
Gilroy,95020,Saint Louise Regional Hospital,"9400 No Name Uno, Gilroy, CA 95020",(408) 848-2000,Saint_Louise_Regional_Hospital.jpg,37.036612,-121.57124
Glendale,91206,Glendale Adventist Medical Center,"1509 Wilson Terrace, Glendale, CA 91206",(818) 409-8000,Glendale_Adventist_Medical_Center.jpg,34.146545,-118.229432
Glendale,91204,Glendale Memorial Hospital and Health Center,"1420 South Central Avenue, Glendale, CA 91204",(818) 502-1900,Glendale_Memorial_Hospital_and_Health_Center.jpg,34.128057,-118.256859
Glendora,91741,Foothill Presbyterian Hospital,"250 South Grand Avenue, Glendora, CA 91741",(626) 963-8411,Foothill_Presbyterian_Hospital.jpg,34.132885,-117.871207
Glendora,91740,Glendora Hospital Community Center,"150 West Route 66, Glendora, CA 91740",(626) 852-5000,Glendora_Hospital_Community_Center.jpg,34.127606,-117.865002
Grass Valley,95945,Sierra Nevada Memorial Hospital,"155 Glasson Way, Grass Valley, CA 95945",(530) 274-6000,Sierra_Nevada_Memorial_Hospital.jpg,39.228103,-121.046891
Greenbrae,94904,Marin General Hospital,"250 Bon Air Road, Greenbrae, CA 94904",(415) 925-7000,Marin_General_Hospital.jpg,37.94736,-122.536027
Hanford,93230,Adventist Medical Center - Hanford,"115 Mall Drive, Hanford, CA 93230",(559) 582-9000,Adventist_Medical_Center_-_Hanford.jpg,36.323787,-119.666447
Hanford,93230,Central Valley General Hospital,"1025 North Douty Street, Hanford, CA 93230",(559) 583-2100,Central_Valley_General_Hospital.jpg,36.336097,-119.645638
Harbor City,90710,Kaiser Permanente South Bay Medical Center,"25825 Vermont Avenue, Harbor City, CA 90710",(310) 325-5111,Kaiser_Permanente_South_Bay_Medical_Center.jpg,33.788567,-118.295674
Hawaiian Gardens,90716,Tri - City Regional Medical Center,"21530 South Pioneer Boulevard, Hawaiian Gardens, CA 90716",(877) 877-1104,Tri_-_City_Regional_Medical_Center.jpg,33.833562,-118.0794
Hayward,94545,Saint Rose Hospital,"27200 Calaroga Avenue, Hayward, CA 94545",(510) 264-4000,Saint_Rose_Hospital.jpg,37.633704,-122.087952
Healdsburg,95448,Healdsburg District Hospital,"1375 University Avenue, Healdsburg, CA 95448",(707) 431-6500,Healdsburg_District_Hospital.jpg,38.627166,-122.864424
Hemet,92543,Hemet Valley Medical Center,"1117 East Devonshire Avenue, Hemet, CA 92543",(951) 652-2811 ,Hemet_Valley_Medical_Center.jpg,33.750347,-116.960037
Hollister,95023,Hazel Hawkins Memorial Hospital,"911 Sunset Drive, Hollister, CA 95023",(831) 637-5711,Hazel_Hawkins_Memorial_Hospital.jpg,36.835106,-121.386365
Hollywood,90028,Southern California Hospital at Hollywood,"6245 de Longpre Avenue, Hollywood, CA 90028",(323) 462–2271,Southern_California_Hospital_at_Hollywood.jpg,34.096445,-118.325197
Huntington Beach,92647,Huntington Beach Hospital,"17772 Beach Boulevard, Huntington Beach, CA 92647",(714) 843-5000,Huntington_Beach_Hospital.jpg,33.70364,-117.986656
Huntington Park,90255,Community Hospital of Huntington Park,"2623 East Slauson Avenue, Huntington Park, CA 90255",(323) 583-1931,Community_Hospital_of_Huntington_Park.jpg,33.989522,-118.224258
Inglewood,90301,Centinela Hospital Medical Center,"555 East Hardy Street, Inglewood, CA 90301",(310) 673-4660,Centinela_Hospital_Medical_Center.jpg,33.950764,-118.348279
Irvine,92618,Hoag Orthopedic Institute,"16200 Sand Canyon Avenue, Irvine, CA 92618",(949) 764-4624,Hoag_Orthopedic_Institute.jpg,33.660895,-117.772236
Jackson,95642,Sutter Amador Hospital,"200 Mission Boulevard, Jackson, CA 95642",(209) 223-7500,Sutter_Amador_Hospital.jpg,38.351073,-120.764826
King City,93930,George L. Mee Memorial Hospital,"300 Canal Street, King City, CA 93930",(831) 385-6000,George_L._Mee_Memorial_Hospital.jpg,36.205981,-121.132912
La Jolla,92037,Scripps Green Hospital,"10666 North Torrey Pines Road, La Jolla, CA 92037",(858) 554-9100,Scripps_Green_Hospital.jpg,32.898364,-117.242961
La Jolla,92037,Scripps Memorial Hospital La Jolla,"9888 Genesee Avenue, La Jolla, CA 92037",(858) 626-4123,Scripps_Memorial_Hospital_La_Jolla.jpg,32.885216,-117.225236
La Mesa,91942,Sharp Grossmont Hospital,"5555 Grossmont Center Drive, La Mesa, CA 91942",(619) 740-6000,Sharp_Grossmont_Hospital.jpg,32.780777,-117.007102
La Palma,90623,La Palma Intercommunity Hospital,"7901 Walker Street, La Palma, CA 90623",(714) 670-7400,La_Palma_Intercommunity_Hospital.jpg,33.847533,-118.038414
Laguna Beach,92651,Mission Hospital - Laguna Beach,"31872 Coast Highway, Laguna Beach, CA 92651",(949) 499-1311,Mission_Hospital_-_Laguna_Beach.jpg,33.500419,-117.741466
Laguna Hills,92653,Saddleback Memorial Medical Center - Laguna Hills,"24451 Health Center Drive, Laguna Hills, CA 92653",(949) 837-4500,Saddleback_Memorial_Medical_Center_-_Laguna_Hills.jpg,33.608901,-117.708725
Lake Isabella,93240,Kern Valley Healthcare District,"6412 Laurel Avenue, Lake Isabella, CA 93240",(760) 379-2681,Kern_Valley_Healthcare_District.jpg,35.635365,-118.406366
Lakewood,90712,Lakewood Regional Medical Center,"3700 East South Street, Lakewood, CA 90712",(562) 531-2550,Lakewood_Regional_Medical_Center.jpg,33.859878,-118.14863
Lancaster,93534,Antelope Valley Hospital,"1600 West Avenue J, Lancaster, CA 93534",(661) 949-5000 ,Antelope_Valley_Hospital.jpg,34.688483,-118.158457
Lodi,95240,Lodi Memorial Hospital,"975 South Fairmont Avenue, Lodi, CA 95240",(209) 334-3411,Lodi_Memorial_Hospital.jpg,38.121858,-121.286652
Loma Linda,92354,Loma Linda University Medical Center,"11234 Anderson Street, Loma Linda, CA 92354",(909) 558-4000,Loma_Linda_University_Medical_Center.jpg,34.050783,-117.264047
Loma Linda,92354,Loma Linda University Medical Center - East,"25333 Barton Road, Loma Linda, CA 92354",(909) 558-6000,Loma_Linda_University_Medical_Center_-_East.jpg,34.047222,-117.251539
Lompoc,93436,Lompoc Valley Medical Center,"1515 East Ocean Avenue, Lompoc, CA 93436",(805) 737-3300,Lompoc_Valley_Medical_Center.jpg,34.640749,-120.439583
Lone Pine,93545,Southern Inyo Hospital,"501 East Locust Street, Lone Pine, CA 93545",(760) 876-5501,Southern_Inyo_Hospital.jpg,36.609048,-118.057944
Long Beach,90804,Community Hospital of Long Beach,"1720 Termino Avenue, Long Beach, CA 90804",(562) 498-1000,Community_Hospital_of_Long_Beach.jpg,33.788474,-118.145292
Long Beach,90806,Long Beach Memorial Medical Center,"2801 Atlantic Avenue, Long Beach, CA 90806",(562) 933-2000,Long_Beach_Memorial_Medical_Center.jpg,33.807975,-118.186697
Long Beach,90806,Miller Children's Hospital,"2801 Atlantic Avenue, Long Beach, CA 90806",(562) 933-5437,Miller_Children_Hospital.jpg,33.807975,-118.186697
Long Beach,90813,St. Mary Medical Center - Long Beach,"1050 Linden Avenue, Long Beach, CA 90813",(562) 491-9000,St._Mary_Medical_Center_-_Long_Beach.jpg,33.779852,-118.185955
Los Alamitos,90720,Los Alamitos Medical Center,"3751 Katella Avenue, Los Alamitos, CA 90720",(562) 598-1311,Los_Alamitos_Medical_Center.jpg,33.803713,-118.067369
Los Angeles,90015,California Hospital Medical Center,"1401 South Grand Avenue, Los Angeles, CA 90015",(213) 748-2411,California_Hospital_Medical_Center.jpg,34.037396,-118.265781
Los Angeles,90048,Cedars - Sinai Medical Center,"8700 Beverly Boulevard, Los Angeles, CA 90048",(310) 423-3277,Cedars_-_Sinai_Medical_Center.jpg,34.074943,-118.380349
Los Angeles,90023,East Los Angeles Doctors Hospital,"4060 Whittier Boulevard, Los Angeles, CA 90023",(323) 268-5514,East_Los_Angeles_Doctors_Hospital.jpg,34.023768,-118.18415
Los Angeles,90017,Good Samaritan Hospital - Los Angeles,"1225 Wilshire Boulevard, Los Angeles, CA 90017",(213) 977-2121,Good_Samaritan_Hospital_-_Los_Angeles.jpg,34.054593,-118.265191
Los Angeles,90027,Hollywood Presbyterian Medical Center,"1300 North Vermont Avenue, Los Angeles, CA 90027",(213) 413.3000,Hollywood_Presbyterian_Medical_Center.jpg,34.096032,-118.29101
Los Angeles,90027,Kaiser Permanente Los Angeles Medical Center,"4867 West Sunset Boulevard, Los Angeles, CA 90027",(800) 954-8000,Kaiser_Permanente_Los_Angeles_Medical_Center.jpg,34.098434,-118.294333
Los Angeles,90034,Kaiser Permanente West Los Angeles Medical Center,"6041 Cadillac Avenue, Los Angeles, CA 90034",(323) 857-2000,Kaiser_Permanente_West_Los_Angeles_Medical_Center.jpg,34.038354,-118.375733
Los Angeles,90033,Keck Hospital of USC,"1500 San Pablo Street, Los Angeles, CA 90033",(888) 700-5700,Keck_Hospital_of_USC.jpg,34.06205,-118.201557
Los Angeles,90033,LAC + USC Medical Center,"2051 Marengo Street, Los Angeles, CA 90033",(323) 409-1000 ,LAC_+_USC_Medical_Center.jpg,34.057627,-118.208359
Los Angeles,90023,Los Angeles Community Hospital at Los Angeles,"4081 East Olympic Boulevard, Los Angeles, CA 90023",(323) 267-0477,Los_Angeles_Community_Hospital_at_Los_Angeles.jpg,34.019235,-118.186553
Los Angeles,90095,Mattel Children's Hospital UCLA,"757 Westwood Plaza, Los Angeles, CA 90095",(310) 825-9111,Mattel_Children_Hospital_UCLA.jpg,34.066117,-118.445743
Los Angeles,90036,Olympia Medical Center,"5900 West Olympic Boulevard, Los Angeles, CA 90036",(310) 657-5900 ,Olympia_Medical_Center.jpg,34.057414,-118.359873
Los Angeles,90012,Pacific Alliance Medical Center,"531 West College Street, Los Angeles, CA 90012",(213) 624-8411,Pacific_Alliance_Medical_Center.jpg,34.064906,-118.239224
Los Angeles,90095,Ronald Reagan UCLA Medical Center,"757 Westwood Plaza, Los Angeles, CA 90095",(310) 825-9111,Ronald_Reagan_UCLA_Medical_Center.jpg,34.066117,-118.445743
Los Angeles,90057,Saint Vincent Medical Center,"2131 West 3rd Street, Los Angeles, CA 90057",(213) 484-7111,Saint_Vincent_Medical_Center.jpg,34.063824,-118.273649
Los Angeles,90026,Silver Lake Medical Center,"1711 West Temple Street, Los Angeles, CA 90026",(213) 989-6100,Silver_Lake_Medical_Center.jpg,34.06968,-118.263513
Los Angeles,90004,Temple Community Hospital,"235 North Hoover Street, Los Angeles, CA 90004",(213) 382-7252,Temple_Community_Hospital.jpg,34.075603,-118.284125
Los Angeles,90033,White Memorial Medical Center,"1720 Cesar E. Chavez Avenue, Los Angeles, CA 90033",(323) 268-5000,White_Memorial_Medical_Center.jpg,34.049181,-118.217269
Los Banos,93635,Memorial Hospital Los Banos,"520 West I Street, Los Banos, CA 93635",(209) 826-0591,Memorial_Hospital_Los_Banos.jpg,37.064058,-120.859489
Los Gatos,95032,El Camino Hospital Los Gatos,"815 Pollard Road, Los Gatos, CA 95032",(408) 378-6131,El_Camino_Hospital_Los_Gatos.jpg,37.263064,-121.969342
Lynwood,90262,Saint Francis Medical Center,"3630 East Imperial Highway, Lynwood, CA 90262",(310) 900-8900,Saint_Francis_Medical_Center.jpg,33.92985,-118.20304
Madera,93637,Madera Community Hospital,"1250 East Almond Avenue, Madera, CA 93637",(559) 675-5555,Madera_Community_Hospital.jpg,36.944025,-120.044366
Madera,93636,Valley Children's Hospital,"9300 Valley Childrens Place, Madera, CA 93636",(559) 353-3000,Valley_Children_Hospital.jpg,36.884299,-119.799989
Manteca,95336,Doctors Hospital of Manteca,"1205 East North Street, Manteca, CA 95336",(209) 823-3111,Doctors_Hospital_of_Manteca.jpg,37.80155,-121.197502
Manteca,95337,Kaiser Permanente Manteca Medical Center,"1777 West Yosemite Avenue, Manteca, CA 95337",(209) 825-3700,Kaiser_Permanente_Manteca_Medical_Center.jpg,37.79803,-121.246197
Marina Del Rey,90292,Marina Del Rey Hospital,"4650 Lincoln Boulevard, Marina Del Rey, CA 90292",(310) 823-8911,Marina_Del_Rey_Hospital.jpg,33.982087,-118.439029
Martinez,94553,Contra Costa Regional Medical Center,"2500 Alhambra Avenue, Martinez, CA 94553",(925) 370-5000,Contra_Costa_Regional_Medical_Center.jpg,38.006764,-122.132794
Marysville,95901,Rideout Memorial Hospital,"726 4th Street, Marysville, CA 95901",(530) 749-4511,Rideout_Memorial_Hospital.jpg,39.138252,-121.594262
Menlo Park,94025,Menlo Park Surgical Hospital,"570 Willow Road, Menlo Park, CA 94025",(650) 324-8500,Menlo_Park_Surgical_Hospital.jpg,37.461662,-122.159144
Merced,95340,Mercy Medical Center Merced,"333 Mercy Avenue, Merced, CA 95340",(209) 564-5000,Mercy_Medical_Center_Merced.jpg,37.339977,-120.467296
Merced,95340,Mercy Medical Center Merced Dominican,"2740 M Street, Merced, CA 95340",(209) 564-5000,Mercy_Medical_Center_Merced_Dominican.jpg,37.31213,-120.477999
Mission Hills,91345,Providence Holy Cross Medical Center,"15031 Rinaldi Street, Mission Hills, CA 91345",(818) 365-8051,Providence_Holy_Cross_Medical_Center.jpg,34.280154,-118.460335
Mission Viejo,92691,CHOC Children's at Mission Hospital,"27700 Medical Center Road 5th Floor, Mission Viejo, CA 92691",(949) 364-1400,CHOC_Children_at_Mission_Hospital.jpg,33.560996,-117.665304
Mission Viejo,92691,Mission Hospital - Mission Viejo,"27700 Medical Center Road, Mission Viejo, CA 92691",(949) 364-1400,Mission_Hospital_-_Mission_Viejo.jpg,33.560996,-117.665304
Modesto,95350,Doctors Medical Center of Modesto,"1441 Florida Avenue, Modesto, CA 95350",(209) 578-1211,Doctors_Medical_Center_of_Modesto.jpg,37.665397,-120.997426
Modesto,95355,Memorial Medical Center,"1700 Coffee Road, Modesto, CA 95355",(209) 526-4500,Memorial_Medical_Center.jpg,37.668671,-120.973386
Modesto,95355,Stanislaus Surgical Hospital,"1421 Oakdale Road, Modesto, CA 95355",(209) 572-2700,Stanislaus_Surgical_Hospital.jpg,37.664769,-120.958318
Montclair,91763,Montclair Hospital Medical Center,"5000 San Bernardino Street, Montclair, CA 91763",(909) 625-5411,Montclair_Hospital_Medical_Center.jpg,34.078679,-117.695967
Montebello,90640,Beverly Hospital,"309 West Beverly Boulevard, Montebello, CA 90640",(323) 726-1222,Beverly_Hospital.jpg,34.015015,-118.100636
Monterey,93940,Community Hospital of the Monterey Peninsula,"23625 Holman Highway, Monterey, CA 93940",(831) 624-5311,Community_Hospital_of_the_Monterey_Peninsula.jpg,36.578716,-121.913194
Monterey Park,91754,Garfield Medical Center,"525 North Garfield Avenue, Monterey Park, CA 91754",(626) 573-2222,Garfield_Medical_Center.jpg,34.067982,-118.123759
Monterey Park,91754,Monterey Park Hospital,"900 South Atlantic Boulevard, Monterey Park, CA 91754",(626) 570-9000,Monterey_Park_Hospital.jpg,34.049415,-118.138286
